[ 2024-12-22 16:16:10,809 ] 16 root - INFO - Initiate the data ingestion
[ 2024-12-22 16:16:18,855 ] 65 root - INFO - Performed train test split on the dataframe
[ 2024-12-22 16:16:18,857 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2024-12-22 16:16:18,868 ] 75 root - INFO - Exporting train and test file path.
[ 2024-12-22 16:16:19,148 ] 84 root - INFO - Exported train and test file path.
[ 2024-12-22 16:16:19,148 ] 18 root - INFO - Data Initiation Completed
[ 2024-12-22 16:16:19,210 ] 22 root - INFO - Initiate the data validation
[ 2024-12-22 16:16:25,585 ] 33 root - INFO - Required number of columns:2
[ 2024-12-22 16:16:25,587 ] 34 root - INFO - Data frame has columns:1
[ 2024-12-22 16:16:25,588 ] 33 root - INFO - Required number of columns:2
[ 2024-12-22 16:16:25,588 ] 34 root - INFO - Data frame has columns:1
[ 2024-12-22 16:16:25,915 ] 24 root - INFO - Data Validation Completed
[ 2024-12-22 16:16:25,916 ] 28 root - INFO - Initiate the data transformation
[ 2024-12-22 16:16:25,917 ] 55 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2024-12-22 16:16:25,918 ] 57 root - INFO - Starting data transformation
[ 2024-12-22 16:16:26,044 ] 45 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2024-12-22 16:16:26,121 ] 51 root - INFO - Entered the save_object method of MainUtils class
[ 2024-12-22 16:16:26,164 ] 55 root - INFO - Exited the save_object method of MainUtils class
[ 2024-12-22 16:16:26,165 ] 51 root - INFO - Entered the save_object method of MainUtils class
[ 2024-12-22 16:16:26,202 ] 55 root - INFO - Exited the save_object method of MainUtils class
[ 2024-12-22 16:16:26,203 ] 30 root - INFO - Data Transformation Completed
